date,open,high,low,close,volume
2016-06-29,1.106625,1.11306,1.10494,1.11247,-1.0
2016-06-30,1.111955,1.11547,1.102395,1.110635,-1.0
2016-07-01,1.11075,1.11695,1.10722,1.11337,-1.0
2016-07-04,1.1136,1.115965,1.109795,1.115325,-1.0
2016-07-05,1.11525,1.11865,1.10625,1.1076,-1.0
2016-07-06,1.107025,1.11117,1.1029,1.11001,-1.0
2016-07-07,1.1102,1.110755,1.10526,1.10623,-1.0
2016-07-08,1.1063,1.11211,1.10018,1.10528,-1.0
2016-07-11,1.104825,1.10747,1.101575,1.1058,-1.0
2016-07-12,1.10587,1.112655,1.10522,1.106045,-1.0
2016-07-13,1.106325,1.111995,1.10421,1.109045,-1.0
2016-07-14,1.109175,1.116485,1.108845,1.11199,-1.0
2016-07-15,1.111725,1.114895,1.102525,1.103405,-1.0
2016-07-18,1.105025,1.108455,1.103755,1.10754,-1.0
2016-07-19,1.10735,1.108045,1.09999,1.102095,-1.0
2016-07-20,1.101825,1.103045,1.098155,1.10148,-1.0
2016-07-21,1.101005,1.105985,1.09796,1.102545,-1.0
2016-07-22,1.102325,1.10411,1.09556,1.09763,-1.0
2016-07-25,1.09715,1.099885,1.0952,1.09956,-1.0
2016-07-26,1.099325,1.10299,1.09783,1.09865,-1.0
2016-07-27,1.098775,1.106485,1.096115,1.10583,-1.0
2016-07-28,1.106,1.111965,1.105255,1.107575,-1.0
2016-07-29,1.107925,1.119775,1.10727,1.11755,-1.0
2016-08-01,1.11675,1.11841,1.115215,1.11624,-1.0
2016-08-02,1.1162,1.12338,1.1159,1.122345,-1.0
2016-08-03,1.12255,1.122685,1.11407,1.11496,-1.0
2016-08-04,1.115,1.11565,1.11139,1.112965,-1.0
2016-08-05,1.11285,1.116135,1.10459,1.10874,-1.0
2016-08-08,1.1086,1.110495,1.10722,1.108795,-1.0
2016-08-09,1.108595,1.112265,1.107045,1.111675,-1.0
2016-08-10,1.11165,1.119035,1.11134,1.11758,-1.0
2016-08-11,1.117875,1.11918,1.113555,1.113725,-1.0
2016-08-12,1.11372,1.122145,1.113135,1.116525,-1.0
2016-08-15,1.11685,1.120375,1.11535,1.11835,-1.0
2016-08-16,1.11845,1.132255,1.117745,1.127875,-1.0
2016-08-17,1.1279,1.131615,1.124095,1.12894,-1.0
2016-08-18,1.128775,1.136635,1.12866,1.13537,-1.0
2016-08-19,1.135425,1.136005,1.130415,1.1329,-1.0
2016-08-22,1.13195,1.13307,1.12711,1.132015,-1.0
2016-08-23,1.132225,1.135535,1.130325,1.13055,-1.0
2016-08-24,1.13045,1.131155,1.12452,1.126375,-1.0
2016-08-25,1.126425,1.129755,1.12593,1.128555,-1.0
2016-08-26,1.128405,1.13412,1.11805,1.119575,-1.0
